Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-05-01,1884.39,1888.59,1878.04,1883.68,468129760
2014-05-02,1885.3,1891.33,1878.5,1881.14,463772512
2014-05-05,1879.45,1885.51,1866.77,1884.66,417845728
2014-05-06,1883.69,1883.69,1867.72,1867.72,475145856
2014-05-07,1868.53,1878.83,1859.79,1878.21,563865920
2014-05-08,1877.39,1889.07,1870.05,1875.63,488633952
2014-05-09,1875.27,1878.57,1867.02,1878.48,473636640
2014-05-12,1880.03,1897.13,1880.03,1896.65,448958176
2014-05-13,1896.75,1902.17,1896.06,1897.45,418424960
2014-05-14,1897.13,1897.13,1885.77,1888.53,424737152
2014-05-15,1888.16,1888.16,1862.36,1870.85,547248768
2014-05-16,1871.19,1878.28,1864.82,1877.86,624214464
2014-05-19,1876.66,1886,1872.42,1885.08,433539360
2014-05-20,1884.88,1884.88,1868.14,1872.83,434987328
2014-05-21,1873.34,1888.8,1873.34,1888.03,410922496
2014-05-22,1888.19,1896.33,1885.39,1892.49,385687104
2014-05-23,1893.32,1901.26,1893.32,1900.53,373533152
2014-05-27,1902.01,1912.28,1902.01,1911.91,469725696
2014-05-28,1911.77,1914.46,1907.3,1909.78,408971456
2014-05-29,1910.6,1920.03,1909.82,1920.03,371686944
2014-05-30,1920.33,1924.03,1916.64,1923.57,600561216
2014-06-02,1923.87,1925.88,1915.98,1924.97,376884160
2014-06-03,1923.07,1925.07,1918.79,1924.24,414916320
2014-06-04,1923.06,1928.63,1918.6,1927.88,403731584
2014-06-05,1928.52,1941.74,1922.93,1940.46,431163168
2014-06-06,1942.41,1949.44,1942.41,1949.44,445238432
2014-06-09,1948.97,1955.55,1947.16,1951.27,422482240
2014-06-10,1950.34,1950.86,1944.64,1950.79,405674272
2014-06-11,1949.37,1949.37,1940.08,1943.89,387291712
2014-06-12,1943.35,1943.35,1925.78,1930.11,460598592
2014-06-13,1930.8,1937.3,1927.69,1936.16,445525536
2014-06-16,1934.84,1941.15,1930.91,1937.78,437327136
2014-06-17,1937.15,1943.69,1933.55,1941.99,406150816
2014-06-18,1942.73,1957.74,1939.29,1956.98,436551008
2014-06-19,1957.5,1959.87,1952.26,1959.48,476074336
2014-06-20,1960.45,1963.91,1959.17,1962.87,1210088576
2014-06-23,1962.92,1963.74,1958.89,1962.61,412473568
